Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,an,hrmn,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100049178,113Â 848,A01,2,2,2,5,2,-1,-1,0,0,-1,2021,52.0,1,1,0,0,0,1,1,,3,1504,-1,,2,2,0,2,52,800,1,, -1,1,0,1,80,3,3,2021,13:30,1,1,1454,1,1,0,7,D 1504,45.73027,5.70817,13,2,1
202100024039,158Â 676,A01,1,1,1,5,0,-1,-1,0,0,-1,2021,21.0,2,1,0,0,0,1,0,,3,6,-1,,2,2,0,2,6,350,1,, -1,1,0,1,80,15,8,2021,11:15,1,54,54411,1,1,0,7,D6,48.483462,6.186966,11,1,1
202100047709,116Â 467,B01,1,1,1,0,2,8,-1,-1, -1,-1,2021,24.0,3,1,0,2,3,1,5,,4,IRENE JOLIOT CURIE                  (BD),0,,1,1,2,1,(1),(1),3,, -1,1,-1,5,50,8,3,2021,18:45,5,69,69259,2,9,0,3,IRENE JOLIOT CURIE                  (BD),45.71709,4.87748,18,2,2
202100053221,106Â 604,A01,1,1,2,1,1,-1,-1,0,0,-1,2021,35.0,1,2,0,2,1,15,1,,3,9,0,,2,3,0,1,1,0,1,, -1,2,0,1,70,29,1,2021,12:55,1,14,14137,1,3,1,1,D9,49.1871,-0.4257,12,2,2
202100048211,115Â 582,A01,1,1,1,0,1,0,-1,-1, -1,-1,2021,33.0,1,2,0,2,1,2,0,,2,118,0,,1,0,0,1,3,180,1,, -1,2,0,1,90,13,3,2021,14:25,1,91,91064,1,1,1,2,RN 118,48.74913,2.21239,14,3,2
202100014652,175Â 522,B01,1,1,2,1,2,0,-1,-1, -1,-1,2021,36.0,1,0,0,2,1,0,3,,3,ARISTIDE BRIAND (BOULEVARD),0,,2,2,1,1,1,0,1,, -1,1,5,1,50,7,10,2021,17:50,1,93,93048,2,2,0,3,Boulevard Aristide Briand / Rue de la Demi-Lune,48.876274183,2.4561309814,17,2,2
202100039472,131Â 051,A01,10,3,1,5,0,-1,-1,2,4,1,2021,8.0,1,2,0,1,2,1,3,,4,RUE BERTHOLLET,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,30,18,5,2021,12:42,1,75,75105,2,1,0,6,RUE BERTHOLLET,48.839806,2.345917,12,2,1
202100027521,152Â 531,A01,1,1,1,1,2,6,-1,-1, -1,-1,2021,55.0,1,1,0,2,1,15,1,,3,BITCHE (ROUTE DE),0,,1,1,0,1,0,0,2,, -1,1,0,1,50,21,7,2021,16:20,1,67,67180,1,6,0,3,BITCHE (ROUTE DE),48.82581,7.76365,16,2,2
202100015509,173Â 980,A01,1,1,1,5,1,-1,-1,-1, -1,-1,2021,90.0,2,2,0,2,8,9,2,,7,KENNEDY (AVENUE J.)NÂ°PAIRS 2A2560,0,,2,2,0,1,0,80,1,, -1,1,0,1,50,29,9,2021,11:05,1,83,83129,2,3,0,5,KENNEDY (AVENUE J.)NÂ°PAIRS 2A2560,43.107984,5.814983,11,5,3
202100042233,126Â 134,Y01,1,1,1,1,8,0,-1,-1, -1,-1,2021,23.0,3,1,0,2,1,1,5,,3,CIRCULAIRE (BOULEVARD),0,,1,2,1,1,0,0,1,, -1,1,0,5,50,28,4,2021,07:15,1,92,92026,2,1,0,3,CIRCULAIRE (BOULEVARD),48.89089,2.24767,7,2,2
